#DEPTH,AC,DEN,CNL
2187.625,232.74,2.54,24.93
2187.75,242.4,2.53,26
2187.875,245.4,2.51,26.96
2188,242.48,2.49,28
2188.125,242.41,2.46,28.96
2188.25,244.71,2.38,30
2188.375,246.69,2.25,30.96
2188.5,255.1,2.09,32
2188.625,269.96,2,32
2188.75,281.41,1.99,31
2188.875,278.48,2.05,29.08
2189,266.32,2.15,27
2189.125,255.77,2.22,26.04
2189.25,250.83,2.24,25
2189.375,251.05,2.23,24.04
2189.5,258.26,2.2,25
2189.625,267.93,2.18,25
2189.75,270.03,2.2,26
2189.875,261.87,2.22,26.96
2190,251.12,2.27,26
2190.125,237.74,2.36,22.15
2190.25,217.8,2.45,19
2190.375,199.82,2.51,18.04
2190.5,188.08,2.52,23
2190.625,190.51,2.46,29.74
2190.75,211.03,2.34,37
2190.875,245.61,2.24,37
2191,286.86,2.17,34
2191.125,323.11,2.13,34
2191.25,350.48,2.11,37
2191.375,361.37,2.1,41.81
2191.5,365.21,2.1,49
2191.625,366.17,2.1,49.96
2191.75,358.89,2.1,44
2191.875,341.35,2.09,39.19
2192,317.02,2.1,37
2192.125,290.44,2.14,37
2192.25,257.66,2.22,34
2192.375,236,2.31,30.15
2192.5,227.18,2.4,26
2192.625,230.74,2.48,23.11
2192.75,236.07,2.53,22
2192.875,239.13,2.53,22.96
2193,241.23,2.48,24
2193.125,241.84,2.41,25.93
2193.25,241.19,2.36,28
2193.375,242.73,2.33,28
2193.5,247.11,2.31,27
2193.625,250.17,2.32,26.04
2193.75,249.78,2.36,24
2193.875,245.97,2.42,23.04
2194,239.32,2.5,22
2194.125,233.08,2.55,21.04
2194.25,227.52,2.59,20
2194.375,224.36,2.61,20
2194.5,223.45,2.64,20
2194.625,225.13,2.65,20
2194.75,227.54,2.63,20
2194.875,228.25,2.61,20
2195,228.29,2.59,21
2195.125,229.45,2.58,21
2195.25,230.13,2.56,22
2195.375,230.43,2.54,22
2195.5,233.12,2.49,23
2195.625,237.45,2.4,24.93
2195.75,244.55,2.27,27
2195.875,256.21,2.13,29.89
2196,273.11,1.99,35
2196.125,291.4,1.89,39.81
2196.25,311.81,1.84,44
2196.375,323.87,1.82,44
2196.5,324.82,1.81,43
2196.625,321.38,1.82,41.08
2196.75,318.69,1.82,39
2196.875,311.69,1.81,38.04
2197,302.91,1.79,38
2197.125,308.66,1.79,39.93
2197.25,319.27,1.83,43
2197.375,317.46,1.92,43.96
2197.5,312.2,2.02,44
2197.625,315.31,2.11,44.96
2197.75,318.69,2.14,47
2197.875,319.78,2.14,49.89
2198,324.01,2.12,53
2198.125,325.39,2.09,53
2198.25,316.37,2.04,51
2198.375,299.12,2,46.19
2198.5,281.38,1.99,40
2198.625,272.23,2.01,35.19
2198.75,266.02,2.03,32
2198.875,262.27,2.04,30.08
2199,258.02,2.07,30
2199.125,250.75,2.14,30.96
2199.25,245.29,2.23,32
2199.375,248.27,2.28,32
2199.5,258.2,2.25,33
2199.625,270.55,2.18,33.96
2199.75,281.77,2.12,35
2199.875,283.72,2.13,35.96
2200,277.74,2.18,34
2200.125,267.64,2.28,31.11
2200.25,253.16,2.39,26
2200.375,239.59,2.47,21.19
2200.5,227.45,2.52,18
2200.625,219.01,2.54,17.04
2200.75,209.17,2.56,17
2200.875,202.35,2.58,17.96
2201,201.7,2.56,19
2201.125,206.45,2.49,20.93
2201.25,217.89,2.35,25
2201.375,237.74,2.21,29.81
2201.5,265.53,2.09,34
2201.625,292.71,2.06,35.93
2201.75,321.11,2.08,37
2201.875,340.98,2.14,35.08
2202,341.7,2.22,28
2202.125,323.99,2.3,21.26
2202.25,293.55,2.37,16
2202.375,259.51,2.41,16
2202.5,225.34,2.44,16
2202.625,206.49,2.45,17.93
2202.75,204.98,2.42,19
2202.875,216.01,2.37,19
2203,230.26,2.29,20
2203.125,244.78,2.21,20
2203.25,265.5,2.13,23
2203.375,281.82,2.07,27.81
2203.5,287.61,2.05,33
2203.625,290.56,2.05,35.89
2203.75,291.99,2.07,37
2203.875,285.21,2.09,37
2204,275.69,2.11,36
2204.125,270.21,2.14,34.08
2204.25,265.18,2.13,32
2204.375,267.43,2.09,30.08
2204.5,281.97,2.02,30
2204.625,298.35,1.97,30.96
2204.75,306.97,1.97,32
2204.875,303.37,2.03,32.96
2205,287.51,2.12,34
2205.125,261.99,2.18,33.04
2205.25,241.12,2.19,31
2205.375,243.31,2.19,30.04
2205.5,262.48,2.19,29
2205.625,278.88,2.19,29
2205.75,292.83,2.18,30
2205.875,303.04,2.13,31.93
2206,306.75,2.06,34
2206.125,306.55,2,34.96
2206.25,305.72,1.96,34
2206.375,297.6,1.96,31.11
2206.5,280.72,2,28
2206.625,262.94,2.08,26.08
2206.75,243.77,2.17,25
2206.875,234.23,2.24,24.04
2207,232.99,2.27,25
2207.125,235.67,2.27,25.96
2207.25,239.46,2.25,28
2207.375,245.35,2.22,29.93
2207.5,253.8,2.14,31
2207.625,265.04,2.02,31
2207.75,280.78,1.89,32
2207.875,291.41,1.83,32.96
2208,291.43,1.82,34
2208.125,282.99,1.85,34.96
2208.25,272.87,1.92,35
2208.375,270.44,2,34.04
2208.5,274.43,2.06,33
